edge_tail,edge_head,length,capacity,speed
83,82,0.902947,1201,0
83,85,1.331774,1201,0
83,5931,0.855235,99999,0
84,85,0.816178,1201,0
84,86,0.464271,1201,0
84,5518,0.913931,99999,0
85,83,1.331774,1201,0
85,84,0.816178,1201,0
85,5858,1.657172,1201,0
85,5872,0.840868,99999,0
86,84,0.464271,1201,0
86,87,1.449741,3825,0
86,5592,0.493579,3825,0
87,86,1.449741,3825,0
87,121,1.772846,99999,0
87,5872,0.424298,99999,0
87,5963,1.2033,3825,0
88,89,1.016299,1201,0
88,122,1.103035,1201,0
88,5540,0.723375,99999,0
89,88,1.016299,1201,0
89,123,0.653707,1201,0
89,5945,0.979379,1201,0
89,5965,1.065293,1201,0
90,91,0.946973,2161,0
90,4474,1.534977,99999,0
90,5601,1.611259,2161,0
91,90,0.946973,2161,0
91,93,1.322808,1201,0
91,5966,0.790765,2161,0
92,93,1.349522,1201,0
92,125,1.529296,1201,0
92,4475,0.721022,1201,0
92,5760,0.505621,99999,0
93,91,1.322808,1201,0
93,92,1.349522,1201,0
93,4474,0.927707,99999,0
93,5967,0.871761,99999,0
94,95,0.966926,99999,0
94,129,1.156034,99999,0
94,5756,1.135331,99999,0
94,6712,0.501288,99999,0
95,94,0.966926,99999,0
95,97,0.918008,1201,0
95,6149,0.692699,1201,0
95,6150,1.582644,99999,0
96,97,0.590153,1201,0
96,100,1.222848,1201,0
96,133,1.671504,1201,0
96,5725,1.055765,99999,0
97,95,0.918008,1201,0
97,96,0.590153,1201,0
97,130,0.926299,1201,0
98,99,0.509257,1201,0
98,5634,1.281397,99999,0
98,5716,1.429296,1201,0
98,5721,1.653273,99999,0
99,98,0.509257,1201,0
99,6702,1.401912,1201,0
99,6706,1.388503,1201,0
100,96,1.222848,1201,0
100,101,1.289839,1201,0
100,5763,1.557975,1201,0
101,100,1.289839,1201,0
101,131,1.022416,99999,0
101,6158,0.544867,1201,0
101,6159,0.729435,99999,0
102,103,1.977631,1201,0
102,5788,1.785436,99999,0
102,5794,0.295484,1201,0
103,102,1.977631,1201,0
103,104,0.79965,99999,0
103,4391,0.483441,1201,0
104,32,0.740284,99999,0
104,103,0.79965,99999,0
105,39,1.209603,99999,0
105,5826,0.801009,99999,0
106,40,0.149896,1201,0
106,114,0.555985,1201,0
106,5926,1.179465,1201,0
107,108,2.175294,1201,0
107,111,1.336907,1201,0
107,5825,0.614056,1201,0
108,40,0.950728,1201,0
108,107,2.175294,1201,0
108,5826,0.984667,1201,0
109,110,1.494171,99999,0
109,111,2.152978,99999,0
110,109,1.494171,99999,0
110,112,3.124328,1201,0
110,5860,1.465633,99999,0
110,5907,1.724582,1201,0
111,107,1.336907,1201,0
111,109,2.152978,99999,0
111,5907,1.013631,1201,0
111,5920,0.993069,1201,0
112,110,3.124328,1201,0
112,113,0.353423,1201,0
112,6484,0.204784,1201,0
113,112,0.353423,1201,0
113,5861,0.493163,1201,0
113,6987,0.358455,99999,0
114,106,0.555985,1201,0
114,116,0.265104,1201,0
115,116,0.844019,99999,0
115,5923,0.847586,99999,0
116,114,0.265104,1201,0
116,115,0.844019,99999,0
116,5509,1.18839,1201,0
117,118,0.307226,1201,0
117,5923,0.680315,1201,0
118,117,0.307226,1201,0
118,5498,0.136502,1201,0
119,120,0.268682,1201,0
119,5928,0.878894,1201,0
119,5929,2.059519,1201,0
120,82,1.515364,1201,0
120,119,0.268682,1201,0
120,6561,1.21551,1201,0
121,87,1.772846,99999,0
121,122,1.844305,99999,0
121,5586,1.951523,99999,0
121,5965,0.99733,99999,0
122,88,1.103035,1201,0
122,121,1.844305,99999,0
122,5541,0.565405,1201,0
122,5589,0.840567,1201,0
123,89,0.653707,1201,0
123,124,0.372353,1201,0
123,5540,0.919025,99999,0
123,5952,1.093464,99999,0
124,123,0.372353,1201,0
124,5538,2.595194,1201,0
125,92,1.529296,1201,0
125,128,1.507891,1201,0
125,5967,0.647986,99999,0
125,5970,0.856875,1201,0
126,127,0.751874,4250,0
126,5831,0.475833,4250,0
126,7066,0.350147,99999,0
127,126,0.751874,4250,0
127,5832,0.336843,2125,0
127,6752,0.215338,4250,0
128,125,1.507891,1201,0
128,129,1.990198,2161,0
128,6149,1.543445,1201,0
128,6153,1.311283,2161,0
129,94,1.156034,99999,0
129,128,1.990198,2161,0
129,5759,1.450641,2161,0
129,5760,0.721772,99999,0
130,97,0.926299,1201,0
130,5724,1.725476,1201,0
130,5756,0.508999,1201,0
131,101,1.022416,99999,0
131,132,1.194574,99999,0
132,131,1.194574,99999,0
132,134,3.223066,1201,0
132,136,2.137188,1201,0
132,5762,0.76093,1201,0
133,96,1.671504,1201,0
133,6136,0.312892,1201,0
133,6159,0.675341,99999,0
134,132,3.223066,1201,0
134,6139,0.748494,1201,0
134,6158,0.902073,1201,0
135,136,0.1503,1201,0
135,6175,0.871852,1201,0
135,6646,1.449357,1201,0
135,6702,2.216114,1201,0
136,132,2.137188,1201,0
136,135,0.1503,1201,0
136,6647,0.752681,1201,0
137,69,0.173555,4250,0
137,3668,0.354017,4250,0
137,5103,0.362472,961,0
138,69,0.49362,961,0
138,139,0.262947,961,0
138,5085,0.256823,961,0
139,138,0.262947,961,0
139,140,0.342004,961,0
140,139,0.342004,961,0
140,5087,0.072496,961,0
140,5090,0.249956,4250,0
141,23,0.713578,2161,0
141,4371,0.056388,4250,0
142,143,0.874388,961,0
142,276,1.77609,961,0
142,277,0.932578,99999,0
143,142,0.874388,961,0
143,187,3.845708,961,0
144,145,0.478122,1201,0
144,209,1.062044,99999,0
144,241,1.527145,1201,0
145,144,0.478122,1201,0
145,146,1.13942,99999,0
145,148,1.588701,1201,0
146,145,1.13942,99999,0
147,148,1.57869,1201,0
147,302,0.369055,1201,0
148,145,1.588701,1201,0
148,147,1.57869,1201,0
148,1067,2.306665,1201,0
148,1075,1.472887,99999,0
149,150,2.702903,1201,0
149,151,1.581908,99999,0
149,306,1.538159,1201,0
150,149,2.702903,1201,0
150,1078,0.498925,1201,0
150,1079,0.069226,1201,0
151,149,1.581908,99999,0
151,152,2.10135,99999,0
151,222,2.642032,99999,0
152,151,2.10135,99999,0
152,153,2.513215,1201,0
152,1079,0.514096,1201,0
152,1081,1.011353,1201,0
153,152,2.513215,1201,0
153,154,2.254488,1201,0
153,372,1.414018,1201,0
154,153,2.254488,1201,0
154,767,0.76153,99999,0
154,1478,0.44394,1201,0
155,156,1.905924,1201,0
155,325,1.117873,1201,0
155,392,1.80622,1201,0
156,155,1.905924,1201,0
156,1423,0.827383,1201,0
157,158,3.171657,3825,0
157,391,1.988704,99999,0
157,393,0.971945,3825,0
158,157,3.171657,3825,0
158,214,1.212569,1201,0
158,1534,3.102956,3825,0
159,43,2.891839,1201,0
159,214,2.971723,1201,0
159,394,1.004292,99999,0
160,161,0.661725,1201,0
160,162,0.278335,961,0
160,579,0.235717,1201,0
161,160,0.661725,1201,0
161,969,0.203723,1201,0
161,975,0.426112,99999,0
162,160,0.278335,961,0
162,163,0.426177,99999,0
162,967,0.104235,961,0
163,162,0.426177,99999,0
163,164,0.365094,99999,0
163,573,0.376876,99999,0
163,591,0.401144,99999,0
164,163,0.365094,99999,0
164,166,0.377527,2161,0
164,985,0.158981,2161,0
165,166,0.090523,2161,0
165,190,0.142156,961,0
165,607,0.121814,2161,0
165,609,0.089324,961,0
166,164,0.377527,2161,0
166,165,0.090523,2161,0
166,978,0.253392,961,0
167,168,0.128512,99999,0
167,535,0.122038,99999,0
167,607,0.096461,99999,0
168,167,0.128512,99999,0
168,190,0.057806,961,0
168,956,0.103339,961,0
169,170,0.060213,99999,0
169,192,0.078421,99999,0
169,721,0.065378,99999,0
169,723,0.092658,99999,0
170,169,0.060213,99999,0
170,193,0.062235,961,0
170,954,0.026256,961,0
171,172,0.067036,99999,0
171,194,0.047079,99999,0
171,196,0.04342,99999,0
171,724,0.089144,99999,0
172,171,0.067036,99999,0
172,195,0.026344,3825,0
172,1026,0.016503,3825,0
173,174,0.279061,99999,0
173,175,0.214373,99999,0
173,637,0.226635,99999,0
173,733,0.311663,99999,0
174,173,0.279061,99999,0
174,178,0.084156,4250,0
174,1057,0.122299,4250,0
175,173,0.214373,99999,0
175,202,0.04087,4250,0
175,994,0.182154,4250,0
176,177,0.334885,4250,0
176,206,0.102723,4250,0
176,741,0.06504,4250,0
177,1060,0.083255,4250,0
178,174,0.084156,4250,0
178,204,0.190277,99999,0
178,206,0.044355,4250,0
179,180,0.442847,9350,0
180,893,0.297184,9350,0
181,182,0.291749,99999,0
181,402,0.357139,99999,0
181,742,0.156908,99999,0
182,181,0.291749,99999,0
182,1051,0.308739,4250,0
183,184,0.378313,961,0
183,402,0.110809,961,0
183,761,0.424091,99999,0
184,183,0.378313,961,0
184,907,0.352434,99999,0
184,1144,0.593458,961,0
185,186,0.136101,2161,0
185,758,0.439264,2161,0
185,762,0.384769,99999,0
185,6419,0.090534,961,0
186,185,0.136101,2161,0
186,6418,0.28644,2161,0
187,143,3.845708,961,0
187,188,2.661252,961,0
187,936,1.004623,99999,0
188,187,2.661252,961,0
188,189,2.717411,2161,0
188,6587,0.858509,2161,0
189,188,2.717411,2161,0
189,271,1.612993,99999,0
189,273,0.927761,2161,0
190,165,0.142156,961,0
190,168,0.057806,961,0
190,987,0.171362,99999,0
191,192,0.059086,961,0
191,954,0.05819,961,0
191,956,0.100951,961,0
192,169,0.078421,99999,0
192,191,0.059086,961,0
192,535,0.021639,961,0
193,170,0.062235,961,0
193,194,0.04788,5425,0
193,1025,0.103244,961,0
193,1026,0.045144,3825,0
194,171,0.047079,99999,0
194,721,0.02296,5425,0
195,172,0.026344,3825,0
195,1018,0.058442,3825,0
195,1027,0.061884,6764,0
196,171,0.04342,99999,0
196,195,0.060021,5425,0
197,198,0.092826,99999,0
197,199,0.102964,99999,0
197,200,0.10452,99999,0
197,1037,0.055633,99999,0
198,196,0.027164,5425,0
198,197,0.092826,99999,0
199,197,0.102964,99999,0
199,713,0.066771,3825,0
199,728,0.033322,3825,0
200,197,0.10452,99999,0
200,201,0.107131,4250,0
200,1035,0.088214,4250,0
201,200,0.107131,4250,0
201,689,0.129631,3825,0
201,728,0.049532,3825,0
201,729,0.053271,961,0
202,175,0.04087,4250,0
202,203,0.064895,4250,0
202,1042,0.252902,99999,0
203,202,0.064895,4250,0
203,738,0.133416,3825,0
204,178,0.190277,99999,0
204,1043,0.080982,99999,0
205,206,0.315171,4250,0
206,176,0.102723,4250,0
206,178,0.044355,4250,0
206,637,0.182981,4250,0
207,208,0.500827,9350,0
207,1046,0.057371,3188,0
208,748,0.10885,9350,0
209,144,1.062044,99999,0
210,211,0.82498,3825,0
210,1479,0.711321,99999,0
210,1483,0.366953,3825,0
211,210,0.82498,3825,0
211,385,0.917094,3825,0
212,213,0.966239,1201,0
212,1486,0.711734,961,0
212,1487,0.394973,1201,0
212,1492,1.115544,99999,0
213,212,0.966239,1201,0
213,388,0.950963,99999,0
213,389,0.24465,1201,0
214,158,1.212569,1201,0
214,159,2.971723,1201,0
214,1542,1.098465,99999,0
215,216,2.579272,99999,0
216,215,2.579272,99999,0
216,217,2.241969,1201,0
216,308,1.871874,1201,0
216,318,2.494545,961,0
217,216,2.241969,1201,0
217,232,0.278912,1201,0
217,255,1.490139,99999,0
218,219,1.045252,961,0
218,220,2.998245,961,0
218,224,1.538894,1201,0
218,298,0.922926,961,0
219,218,1.045252,961,0
219,318,0.724374,961,0
219,343,1.263145,99999,0
219,361,1.804784,961,0
220,218,2.998245,961,0
220,221,1.149072,1201,0
220,307,0.913165,1201,0
221,220,1.149072,1201,0
221,343,1.182712,99999,0
221,370,0.563899,1201,0
222,151,2.642032,99999,0
222,370,0.048119,1201,0
222,372,1.291437,1201,0
223,224,0.975434,99999,0
224,218,1.538894,1201,0
224,223,0.975434,99999,0
224,232,1.201398,1201,0
225,226,2.912373,961,0
225,245,3.517438,961,0
226,225,2.912373,961,0
226,233,1.55619,99999,0
226,269,0.447817,961,0
227,228,2.254975,1201,0
227,242,1.911881,1201,0
227,248,1.468282,1201,0
228,227,2.254975,1201,0
228,280,1.730283,1201,0
228,294,1.619521,99999,0
229,230,1.920712,961,0
229,248,3.10832,961,0
229,250,1.315093,99999,0
229,253,1.440263,961,0
229,254,0.861123,961,0
230,229,1.920712,961,0
230,244,0.855945,1201,0
230,280,0.061724,1201,0
231,232,1.620914,1201,0
231,244,0.780438,1201,0
231,254,0.830182,1201,0
231,255,1.187287,99999,0
232,217,0.278912,1201,0
232,224,1.201398,1201,0
232,231,1.620914,1201,0
233,226,1.55619,99999,0
233,234,1.350349,99999,0
234,233,1.350349,99999,0
234,242,2.453994,1201,0
234,245,0.843313,1201,0
235,236,0.788892,1201,0
235,243,1.056581,99999,0
235,266,0.328092,1201,0
236,235,0.788892,1201,0
236,242,1.464387,1201,0
236,295,0.610786,1201,0
237,238,1.536616,2161,0
237,261,0.71832,2161,0
237,263,0.333287,1201,0
238,237,1.536616,2161,0
238,243,0.669888,99999,0
238,303,0.396789,2161,0
239,240,0.611923,1201,0
239,277,1.334698,99999,0
239,279,0.371197,1201,0
240,239,0.611923,1201,0
240,241,1.288766,1201,0
240,301,1.163367,99999,0
241,144,1.527145,1201,0
241,240,1.288766,1201,0
241,277,0.867851,99999,0
242,227,1.911881,1201,0
242,234,2.453994,1201,0
242,236,1.464387,1201,0
243,235,1.056581,99999,0
243,238,0.669888,99999,0
243,284,0.756771,99999,0
244,230,0.855945,1201,0
244,231,0.780438,1201,0
244,296,1.471961,99999,0
245,225,3.517438,961,0
245,234,0.843313,1201,0
245,2230,2.716165,1201,0
246,247,1.650535,99999,0
247,246,1.650535,99999,0
247,249,1.334126,1201,0
247,253,0.538209,1201,0
248,227,1.468282,1201,0
248,229,3.10832,961,0
248,249,4.384193,1201,0
248,252,2.794595,99999,0
249,247,1.334126,1201,0
249,248,4.384193,1201,0
249,251,2.05538,1201,0
250,229,1.315093,99999,0
251,249,2.05538,1201,0
252,248,2.794595,99999,0
253,229,1.440263,961,0
253,247,0.538209,1201,0
253,254,2.355721,1201,0
254,229,0.861123,961,0
254,231,0.830182,1201,0
254,253,2.355721,1201,0
255,217,1.490139,99999,0
255,231,1.187287,99999,0
256,257,2.438116,99999,0
256,269,1.978644,99999,0
257,256,2.438116,99999,0
257,259,0.392357,2161,0
257,264,2.420644,2161,0
258,259,0.895611,99999,0
258,262,0.603206,99999,0
259,257,0.392357,2161,0
259,258,0.895611,99999,0
259,274,0.425259,2161,0
260,261,1.88775,99999,0
260,266,0.842696,99999,0
260,270,0.68099,99999,0
261,237,0.71832,2161,0
261,260,1.88775,99999,0
261,274,0.792796,2161,0
261,278,0.560862,1201,0
262,258,0.603206,99999,0
262,263,1.280972,961,0
262,270,0.592022,961,0
263,237,0.333287,1201,0
263,262,1.280972,961,0
263,266,0.868869,1201,0
264,257,2.420644,2161,0
264,265,3.622781,2161,0
264,268,0.622599,2161,0
265,264,3.622781,2161,0
266,235,0.328092,1201,0
266,260,0.842696,99999,0
266,263,0.868869,1201,0
267,268,1.537212,99999,0
268,264,0.622599,2161,0
268,267,1.537212,99999,0
268,272,1.028644,2161,0
269,226,0.447817,961,0
269,256,1.978644,99999,0
269,270,1.370466,961,0
270,260,0.68099,99999,0
270,262,0.592022,961,0
270,269,1.370466,961,0
271,189,1.612993,99999,0
272,268,1.028644,2161,0
272,273,0.402428,2161,0
273,189,0.927761,2161,0
273,272,0.402428,2161,0
274,259,0.425259,2161,0
274,261,0.792796,2161,0
274,275,0.6114,99999,0
275,274,0.6114,99999,0
275,276,0.590549,99999,0
276,142,1.77609,961,0
276,275,0.590549,99999,0
276,278,1.032894,961,0
277,142,0.932578,99999,0
277,239,1.334698,99999,0
277,241,0.867851,99999,0
278,261,0.560862,1201,0
278,276,1.032894,961,0
278,279,0.515073,1201,0
279,239,0.371197,1201,0
279,278,0.515073,1201,0
280,228,1.730283,1201,0
280,230,0.061724,1201,0
280,281,2.235288,961,0
281,280,2.235288,961,0
281,282,2.845299,961,0
281,286,0.975621,961,0
282,281,2.845299,961,0
282,288,2.332057,961,0
282,297,0.716358,961,0
283,284,1.32824,1201,0
283,300,0.321628,2161,0
283,303,1.315339,2161,0
284,243,0.756771,99999,0
284,283,1.32824,1201,0
284,286,2.668464,961,0
284,295,0.878402,1201,0
285,286,1.415824,99999,0
285,287,0.741528,99999,0
286,281,0.975621,961,0
286,284,2.668464,961,0
286,285,1.415824,99999,0
287,285,0.741528,99999,0
287,288,2.493809,1201,0
287,304,1.022646,1201,0
288,282,2.332057,961,0
288,287,2.493809,1201,0
288,306,0.631934,1201,0
289,290,0.602334,99999,0
290,289,0.602334,99999,0
290,291,1.587576,961,0
290,299,1.462107,961,0
291,290,1.587576,961,0
291,306,0.817523,1201,0
291,307,0.777554,1201,0
292,293,1.664048,99999,0
293,292,1.664048,99999,0
293,302,1.679631,1201,0
293,305,0.322523,1201,0
294,228,1.619521,99999,0
294,295,1.406655,99999,0
295,236,0.610786,1201,0
295,284,0.878402,1201,0
295,294,1.406655,99999,0
296,244,1.471961,99999,0
296,297,1.158705,99999,0
297,282,0.716358,961,0
297,296,1.158705,99999,0
297,299,0.493284,961,0
298,218,0.922926,961,0
298,299,0.471311,961,0
299,290,1.462107,961,0
299,297,0.493284,961,0
299,298,0.471311,961,0
300,283,0.321628,2161,0
300,301,1.66449,99999,0
300,304,0.613319,2161,0
301,240,1.163367,99999,0
301,300,1.66449,99999,0
302,147,0.369055,1201,0
302,293,1.679631,1201,0
303,238,0.396789,2161,0
303,283,1.315339,2161,0
304,287,1.022646,1201,0
304,300,0.613319,2161,0
304,305,0.749372,1201,0
305,293,0.322523,1201,0
305,304,0.749372,1201,0
306,149,1.538159,1201,0
306,288,0.631934,1201,0
306,291,0.817523,1201,0
307,220,0.913165,1201,0
307,291,0.777554,1201,0
308,216,1.871874,1201,0
308,309,1.977356,961,0
308,339,1.59184,1201,0
309,308,1.977356,961,0
309,361,2.415948,961,0
309,364,0.589811,961,0
310,311,1.200437,99999,0
310,312,1.439691,99999,0
311,310,1.200437,99999,0
311,314,1.440919,1201,0
311,327,0.920426,1201,0
312,310,1.439691,99999,0
312,322,2.727341,961,0
312,367,0.903941,961,0
313,314,1.311457,99999,0
313,315,0.919332,99999,0
314,311,1.440919,1201,0
314,313,1.311457,99999,0
314,342,1.739802,1201,0
315,313,0.919332,99999,0
315,317,0.292196,1201,0
315,326,1.768738,1201,0
316,317,2.111801,1201,0
317,315,0.292196,1201,0
317,316,2.111801,1201,0
317,390,2.182117,99999,0
318,216,2.494545,961,0
318,219,0.724374,961,0
318,362,1.124816,99999,0
319,320,1.16845,99999,0
319,364,0.369856,99999,0
320,319,1.16845,99999,0
320,322,0.311545,3825,0
320,324,0.60507,3825,0
321,322,1.052336,3825,0
321,323,1.180199,99999,0
321,363,0.025292,3825,0
322,312,2.727341,961,0
322,320,0.311545,3825,0
322,321,1.052336,3825,0
323,321,1.180199,99999,0
323,324,1.56529,99999,0
323,346,1.389185,99999,0
324,320,0.60507,3825,0
324,323,1.56529,99999,0
324,340,1.321266,3825,0
325,155,1.117873,1201,0
325,360,1.05353,99999,0
325,387,1.71083,1201,0
326,315,1.768738,1201,0
326,327,1.800635,1201,0
326,328,1.097261,99999,0
327,311,0.920426,1201,0
327,326,1.800635,1201,0
327,367,2.013723,1201,0
327,368,0.707628,1201,0
328,326,1.097261,99999,0
328,329,1.545941,99999,0
329,328,1.545941,99999,0
329,331,1.662926,1201,0
329,358,0.879977,1201,0
329,368,0.613667,1201,0
330,331,2.876598,1201,0
330,390,3.030738,99999,0
330,392,1.400361,1201,0
331,329,1.662926,1201,0
331,330,2.876598,1201,0
331,359,1.834642,1201,0
331,360,1.720796,99999,0
332,333,0.544419,99999,0
333,332,0.544419,99999,0
333,334,0.63668,1201,0
333,335,1.089895,1201,0
334,333,0.63668,1201,0
334,338,0.124419,1201,0
335,333,1.089895,1201,0
335,336,0.4545,1201,0
336,335,0.4545,1201,0
337,338,0.473018,99999,0
338,334,0.124419,1201,0
338,337,0.473018,99999,0
338,339,1.188829,1201,0
339,308,1.59184,1201,0
339,338,1.188829,1201,0
339,340,0.339597,1201,0
340,324,1.321266,3825,0
340,339,0.339597,1201,0
340,341,1.327794,3825,0
341,340,1.327794,3825,0
342,314,1.739802,1201,0
343,219,1.263145,99999,0
343,221,1.182712,99999,0
344,345,0.399814,961,0
344,365,0.505619,961,0
345,344,0.399814,961,0
345,382,0.212504,961,0
345,383,0.18884,99999,0
346,323,1.389185,99999,0
346,347,1.366096,1201,0
346,367,0.394825,1201,0
347,346,1.366096,1201,0
347,349,0.738267,3825,0
347,363,1.163645,3825,0
348,349,1.675894,99999,0
348,367,1.158585,99999,0
348,368,1.888941,99999,0
348,369,0.696742,99999,0
349,347,0.738267,3825,0
349,348,1.675894,99999,0
349,366,0.284242,3825,0
350,351,1.043298,1201,0
350,355,1.075537,99999,0
350,369,1.047307,1201,0
351,350,1.043298,1201,0
351,352,0.826653,3825,0
351,366,0.59051,3825,0
352,351,0.826653,3825,0
352,377,0.41105,3825,0
353,354,0.274023,1201,0
353,376,1.466359,99999,0
353,381,1.244069,1201,0
354,353,0.274023,1201,0
354,355,1.056429,99999,0
354,386,2.109512,1201,0
355,350,1.075537,99999,0
355,354,1.056429,99999,0
355,356,2.003528,99999,0
356,355,2.003528,99999,0
356,377,0.469513,3825,0
356,380,0.120456,3825,0
357,358,2.081226,99999,0
357,359,0.578187,99999,0
357,386,1.676809,99999,0
358,329,0.879977,1201,0
358,357,2.081226,99999,0
358,369,0.936433,1201,0
359,331,1.834642,1201,0
359,357,0.578187,99999,0
359,387,1.607659,1201,0
360,325,1.05353,99999,0
360,331,1.720796,99999,0
361,219,1.804784,961,0
361,309,2.415948,961,0
361,365,1.147427,961,0
362,318,1.124816,99999,0
363,321,0.025292,3825,0
363,347,1.163645,3825,0
363,364,0.468455,961,0
364,309,0.589811,961,0
364,319,0.369856,99999,0
364,363,0.468455,961,0
365,344,0.505619,961,0
